Age;Both sexes;;;;;;;;
0;348,81;;;;;;;;
1;359,52;;;;;;;;
2;384,57;;;;;;;;
3;376,82;;;;;;;;
4;391,72;;;;;;;;
5;400,58;;;;;;;;
6;412,15;;;;;;;;
7;424,51;;;;;;;;
8;429,84;;;;;;;;
9;434,98;;;;;;;;
10;437,38;;;;;;;;
11;442,03;;;;;;;;
12;445,36;;;;;;;;
13;442,85;;;;;;;;
14;452,05;;;;;;;;
15;456,55;;;;;;;;
16;463,18;;;;;;;;
17;478,5;;;;;;;;
18;523,55;;;;;;;;
19;414,09;;;;;;;;
20;450,11;;;;;;;;
21;461,72;;;;;;;;
22;481,46;;;;;;;;
23;498,54;;;;;;;;
24;511,02;;;;;;;;
25;526,5;;;;;;;;
26;539,87;;;;;;;;
27;552,97;;;;;;;;
28;564,84;;;;;;;;
29;571,96;;;;;;;;
30;571,66;;;;;;;;
31;585,68;;;;;;;;
32;583,27;;;;;;;;
33;593,79;;;;;;;;
34;581,42;;;;;;;;
35;567,51;;;;;;;;
36;556,67;;;;;;;;
37;556,43;;;;;;;;
38;554,97;;;;;;;;
39;553,56;;;;;;;;
40;545,6;;;;;;;;
41;541,55;;;;;;;;
42;527,43;;;;;;;;
43;521,74;;;;;;;;
44;508,42;;;;;;;;
45;490,65;;;;;;;;
46;484,01;;;;;;;;
47;476,37;;;;;;;;
48;470,19;;;;;;;;
49;459,16;;;;;;;;
50;450,99;;;;;;;;
51;452,67;;;;;;;;
52;458,86;;;;;;;;
53;463,17;;;;;;;;
54;455,93;;;;;;;;
55;451,42;;;;;;;;
56;444,4;;;;;;;;
57;457,94;;;;;;;;
58;482,31;;;;;;;;
59;510,89;;;;;;;;
60;517,87;;;;;;;;
61;514,16;;;;;;;;
62;502,73;;;;;;;;
63;505,55;;;;;;;;
64;498,18;;;;;;;;
65;487,16;;;;;;;;
66;480,9;;;;;;;;
67;463,48;;;;;;;;
68;450,46;;;;;;;;
69;437,96;;;;;;;;
70;412,62;;;;;;;;
71;395,55;;;;;;;;
72;371,51;;;;;;;;
73;361,23;;;;;;;;
74;349;;;;;;;;
75;337,24;;;;;;;;
76;334,67;;;;;;;;
77;302,46;;;;;;;;
78;251,16;;;;;;;;
79;237,31;;;;;;;;
80;221,6;;;;;;;;
81;202,29;;;;;;;;
82;178,5;;;;;;;;
83;164,74;;;;;;;;
84;146,81;;;;;;;;
85;133,72;;;;;;;;
86;117,6;;;;;;;;
87;105,3;;;;;;;;
88;93,51;;;;;;;;
89;80,88;;;;;;;;
90;69,63;;;;;;;;
91;60,85;;;;;;;;
92;50,59;;;;;;;;
93;42,01;;;;;;;;
94;31,53;;;;;;;;
95;24,81;;;;;;;;
96;18,86;;;;;;;;
97;13,72;;;;;;;;
98;9,74;;;;;;;;
99;6,89;;;;;;;;
100;11,67;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
;;;;;;;;;
